primary_investigator,school,institute_carnegie_classification,website,research_interest,postdoc_wanted,postdoc_ads_link,source
Laura Kiessling,MIT,,https://chemistry.mit.edu/profile/laura-l-kiessling/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Stephen Buchwald,MIT,,https://chemistry-buchwald.mit.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mohammad Movassaghi,MIT,,http://web.mit.edu/movassag/www/index.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Alexander Radosevich,MIT,,http://web.mit.edu/radosevichlab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Alison Wendlandt,MIT,,https://wendlandtlab.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Clay Bennett,Tufts,,http://ase.tufts.edu/chemistry/bennett/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
George O’Doherty,Northeastern,,https://www.northeastern.edu/odoherty/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Roman Manetsch,Northeastern,,http://manetschlab.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
James Dittami,Worcester Polytechnic,,https://www.wpi.edu/people/faculty/jdittami,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Anita Mattson,Worcester Polytechnic,,https://www.amattson.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Patricia Musacchio,Worcester Polytechnic,,https://www.zhang-musacchioresearchgroup.com/,synthetic organic,True,https://www.zhang-musacchioresearchgroup.com/,https://www.organicdivision.org/organicsyntheticfaculty/
Sivappa Rasapalli,University Mass Dartmouth,,https://www.umassd.edu/cas/chemistry/faculty--staff/sivappa-rasapalli/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Wei Zhang,University Mass Boston,,http://alpha.chem.umb.edu/faculty/zhang/code/index.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Anna Mapp,Michigan,,https://www.lsi.umich.edu/science/our-labs/anna-mapp-lab,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
